"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.
* Indicates LGAs with apparent data issues resulting in coverage rates that may not be representative and should be treated with caution. ",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data extracted from AIR - as at 2359hrs on 05 December 2021,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population
Bass Coast (S),Victoria,Inner Regional Australia,>95%,>95%," 30,332 "
Baw Baw (S),Victoria,Inner Regional Australia,>95%,>95%," 42,887 "
Bayside (C),Victoria,Major Cities of Australia,>95%,>95%," 87,219 "
Benalla (RC),Victoria,Inner Regional Australia,>95%,>95%," 11,824 "
Boroondara (C),Victoria,Major Cities of Australia,90.6%,89.5%," 152,935 "
Brimbank (C),Victoria,Major Cities of Australia,92.5%,89.3%," 171,362 "
Buloke (S),Victoria,Outer Regional Australia,>95%,>95%," 5,123 "
Campaspe (S),Victoria,Inner Regional Australia,>95%,>95%," 30,917 "
Cardinia (S),Victoria,Major Cities of Australia,>95%,>95%," 86,129 "
Casey (C),Victoria,Major Cities of Australia,>95%,>95%," 273,232 "
Central Goldfields (S),Victoria,Inner Regional Australia,>95%,>95%," 11,110 "
Colac-Otway (S),Victoria,Inner Regional Australia,>95%,>95%," 17,696 "
Corangamite (S),Victoria,Inner Regional Australia,>95%,>95%," 13,141 "
Darebin (C),Victoria,Major Cities of Australia,82.8%,80.7%," 139,021 "
East Gippsland (S),Victoria,Outer Regional Australia,>95%,>95%," 39,596 "
Frankston (C),Victoria,Major Cities of Australia,93.5%,91.4%," 115,844 "
Gannawarra (S),Victoria,Outer Regional Australia,>95%,>95%," 8,756 "
Glen Eira (C),Victoria,Major Cities of Australia,90.9%,89.2%," 128,766 "
Glenelg (S),Victoria,Outer Regional Australia,>95%,>95%," 16,561 "
Golden Plains (S),Victoria,Inner Regional Australia,>95%,>95%," 18,450 "
Greater Bendigo (C),Victoria,Inner Regional Australia,>95%,>95%," 95,200 "
Greater Dandenong (C),Victoria,Major Cities of Australia,93.6%,90.4%," 138,053 "
Greater Geelong (C),Victoria,Major Cities of Australia,>95%,>95%," 211,830 "
Greater Shepparton (C),Victoria,Inner Regional Australia,>95%,>95%," 52,988 "
Hepburn (S),Victoria,Inner Regional Australia,>95%,>95%," 13,467 "
Hindmarsh (S),Victoria,Outer Regional Australia,>95%,>95%," 4,723 "
Hobsons Bay (C),Victoria,Major Cities of Australia,90.8%,88.6%," 79,604 "
Horsham (RC),Victoria,Outer Regional Australia,>95%,>95%," 16,016 "
Hume (C),Victoria,Major Cities of Australia,>95%,>95%," 180,782 "
Indigo (S),Victoria,Inner Regional Australia,>95%,>95%," 13,733 "
Kingston (C) (Vic.),Victoria,Major Cities of Australia,93.0%,91.2%," 136,655 "
Knox (C),Victoria,Major Cities of Australia,>95%,93.8%," 135,647 "
Latrobe (C) (Vic.),Victoria,Inner Regional Australia,>95%,>95%," 61,811 "
Loddon (S),Victoria,Outer Regional Australia,>95%,>95%," 6,339 "
Macedon Ranges (S),Victoria,Inner Regional Australia,>95%,>95%," 39,626 "
Manningham (C),Victoria,Major Cities of Australia,>95%,94.2%," 106,558 "
Mansfield (S),Victoria,Outer Regional Australia,>95%,>95%," 7,567 "
Maribyrnong (C),Victoria,Major Cities of Australia,84.7%,82.6%," 79,009 "
Maroondah (C),Victoria,Major Cities of Australia,94.3%,92.7%," 96,377 "
Melbourne (C),Victoria,Major Cities of Australia,76.3%,74.1%," 168,298 "
Melton (C),Victoria,Major Cities of Australia,>95%,>95%," 124,611 "
Mildura (RC),Victoria,Outer Regional Australia,>95%,>95%," 45,044 "
Mitchell (S),Victoria,Inner Regional Australia,>95%,>95%," 36,387 "
Moira (S),Victoria,Inner Regional Australia,>95%,>95%," 24,759 "
Monash (C),Victoria,Major Cities of Australia,90.0%,88.0%," 171,519 "
Moonee Valley (C),Victoria,Major Cities of Australia,89.5%,87.8%," 108,789 "
Moorabool (S),Victoria,Major Cities of Australia,>95%,>95%," 27,901 "
Moreland (C),Victoria,Major Cities of Australia,84.0%,81.9%," 156,305 "
Mornington Peninsula (S),Victoria,Major Cities of Australia,>95%,>95%," 138,719 "
Mount Alexander (S),Victoria,Inner Regional Australia,>95%,>95%," 16,789 "
Moyne (S),Victoria,Inner Regional Australia,>95%,>95%," 13,498 "
Murrindindi (S),Victoria,Inner Regional Australia,>95%,>95%," 12,242 "
Nillumbik (S),Victoria,Major Cities of Australia,>95%,>95%," 52,476 "
Northern Grampians (S),Victoria,Inner Regional Australia,>95%,>95%," 9,646 "
Port Phillip (C),Victoria,Major Cities of Australia,80.7%,78.9%," 102,175 "
Pyrenees (S),Victoria,Inner Regional Australia,>95%,>95%," 6,297 "
Queenscliffe (B),Victoria,Inner Regional Australia,>95%,>95%," 2,610 "
South Gippsland (S),Victoria,Inner Regional Australia,>95%,>95%," 24,475 "
Southern Grampians (S),Victoria,Inner Regional Australia,>95%,>95%," 13,285 "
Stonnington (C),Victoria,Major Cities of Australia,82.5%,81.1%," 103,900 "
Strathbogie (S),Victoria,Inner Regional Australia,>95%,>95%," 9,174 "
Surf Coast (S),Victoria,Inner Regional Australia,>95%,>95%," 26,584 "
Swan Hill (RC),Victoria,Outer Regional Australia,>95%,>95%," 16,639 "
Towong (S),Victoria,Outer Regional Australia,>95%,>95%," 5,068 "
Wangaratta (RC),Victoria,Inner Regional Australia,>95%,>95%," 23,818 "
Warrnambool (C),Victoria,Inner Regional Australia,>95%,>95%," 28,859 "
Wellington (S),Victoria,Inner Regional Australia,>95%,>95%," 36,486 "
West Wimmera (S),Victoria,Outer Regional Australia,>95%,>95%," 3,178 "
